"InsectPK","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","DateDetermined"
169,"Lepidoptera","Nymphalidae","Limenitis",NA,"bredowii","","L.Ponisio","Butler",2013
170,"Hymenoptera","Vespidae","Eumenes","","bollii","","J. Carpenter","Cresson",2013
171,"Lepidoptera","Nymphalidae","Vanessa",NA,"atlanta","","L.Ponisio","Linnaeus",2013
172,"Diptera","Syrphidae","Spilomyia",NA,"kahli","","M. Hauser","Snow",2013
173,"Diptera","Syrphidae","Syritta",NA,"pipiens","","M. Hauser","Linnaeus",2013
174,"Hymenoptera","Vespidae","Euodynerus","","hidalgo","","J. Carpenter","Saussure",2013
175,"Diptera","Syrphidae","Copestylum",NA,"apiciferum","","M. Hauser","Townsend",2013
176,"Diptera","Syrphidae","Mallota",NA,"sackeni","","M. Hauser","Williston",2013
177,"Diptera","Syrphidae","Palpada",NA,"mexicana","","M. Hauser","Macquart",2013
178,"Hymenoptera","Halictidae","Lasioglossum","Sphecodogastra","cooleyi","","J.S. Ascher","Crawford",2013
179,"Hymenoptera","Halictidae","Lasioglossum","Hemihalictus","diatretum","","J.S. Ascher","Vachal",2013
180,"Lepidoptera","Pieridae","Neophasia",NA,"menapia","","L.Ponisio","Felder & Felder",2013
181,"Hymenoptera","Halictidae","Lasioglossum","Evylaeus","cinctipes","","J.S. Ascher","Provancher",2013
