UniqueID,TempID,Collector,SampleRound,Order,Family,Genus,SubGenus,Species,SubSpecies,PlantGenus,PlantSpecies,PlantFamily,Date,Dos,SampleRound.1,StartTime,EndTime,TempStart,TempEnd,WindStart,WindEnd,SkyStart,SkyEnd,Site,Country,State,County,Meadow,Forest,MtRange,Lat,Long,GenSp,PlantGenSp,Int,IntGen,PolSpec,PlantSpec,DateStart
SC_072712_257,257,LCP,4,Hymenoptera,Halictidae,Agapostemen,,angelicus,,Agoseris,aurantica,Asteraceae,7/27/12,17,5,9:38,14:00,70.3,76.6,1.9,0.8,clear,partly Cloudy,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Agapostemen angelicus ,Agoseris aurantica,Agapostemen angelicus  Agoseris aurantica,Agapostemen Agoseris,0.264095135,0.431862069,7/27/12
SC_072712_48,48,HLS,4,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Agoseris,aurantica,Asteraceae,7/27/12,17,5,9:38,14:00,70.3,76.6,1.9,0.8,clear,partly Cloudy,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Lasioglossum semicaeruleum ,Agoseris aurantica,Lasioglossum semicaeruleum  Agoseris aurantica,Lasioglossum Agoseris,0.247794197,0.431862069,7/27/12
SC_072712_49,49,HLS,4,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Agoseris,aurantica,Asteraceae,7/27/12,17,5,9:38,14:00,70.3,76.6,1.9,0.8,clear,partly Cloudy,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Lasioglossum semicaeruleum ,Agoseris aurantica,Lasioglossum semicaeruleum  Agoseris aurantica,Lasioglossum Agoseris,0.247794197,0.431862069,7/27/12
SC_072712_99,99,HLS,4,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Agoseris,aurantica,Asteraceae,7/27/12,17,5,9:38,14:00,70.3,76.6,1.9,0.8,clear,partly Cloudy,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Lasioglossum semicaeruleum ,Agoseris aurantica,Lasioglossum semicaeruleum  Agoseris aurantica,Lasioglossum Agoseris,0.247794197,0.431862069,7/27/12
SC_072712_255,255,LCP,4,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Agoseris,aurantica,Asteraceae,7/27/12,17,5,9:38,14:00,70.3,76.6,1.9,0.8,clear,partly Cloudy,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Lasioglossum semicaeruleum ,Agoseris aurantica,Lasioglossum semicaeruleum  Agoseris aurantica,Lasioglossum Agoseris,0.247794197,0.431862069,7/27/12
SC_072812_215,215,LCP,5,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Agoseris,aurantica,Asteraceae,7/28/12,18,6,9:45,13:55,69,72.4,2.5,0.9,clear,bright overcast,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Lasioglossum semicaeruleum ,Agoseris aurantica,Lasioglossum semicaeruleum  Agoseris aurantica,Lasioglossum Agoseris,0.247794197,0.431862069,7/28/12
PL_081112_279,279,HLS,3,Lepidoptera,Pieridae,Colias,,eurytheme,,Agoseris,aurantica,Asteraceae,8/11/12,32,3,8:47,13:00,69.8,75.2,1.1,3.7,clear,clear,PL,USA,Arizona,Graham,Hospital Flat,Coronado,Pinaleno Mts.,32.668392,109.877642,Colias eurytheme ,Agoseris aurantica,Colias eurytheme  Agoseris aurantica,Colias Agoseris,0.243977094,0.431862069,8/11/12
PL_081212_294,294,LCP,4,Lepidoptera,Pieridae,Colias,,eurytheme,,Agoseris,aurantica,Asteraceae,8/12/12,33,4,8:33,12:50,67.9,85,0,4,clear,clear,PL,USA,Arizona,Graham,Hospital Flat,Coronado,Pinaleno Mts.,32.668392,109.877642,Colias eurytheme ,Agoseris aurantica,Colias eurytheme  Agoseris aurantica,Colias Agoseris,0.243977094,0.431862069,8/12/12
MM_080212_305,305,HLS,3,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Agoseris,glauca,Asteraceae,8/2/12,23,3,8:26,13:00,63.5,76.5,1.5,0.8,clear,clear,MM,USA,New Mexico,Socorro,South Baldy meadow,Cibola,Magdalena Mts.,33.991475,107.183675,Lasioglossum semicaeruleum ,Agoseris glauca,Lasioglossum semicaeruleum  Agoseris glauca,Lasioglossum Agoseris,0.247794197,0.211084404,8/2/12
MM_080312_101,101,HLS,4,Hymenoptera,Andrenidae,Andrena,,apacheorum,,Agoseris,glauca,Asteraceae,8/3/12,24,4,8:26,12:00,65.3,69.3,0,3.5,clear,bright overcast,MM,USA,New Mexico,Socorro,South Baldy meadow,Cibola,Magdalena Mts.,33.991475,107.183675,Andrena apacheorum ,Agoseris glauca,Andrena apacheorum  Agoseris glauca,Andrena Agoseris,0.554606418,0.211084404,8/3/12
