"GenusSpecies","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","r.degree"
"Agoseris glauca",5,0.0225225225225225,0.0343972701802009,-0.19312054596396,0.59,0.990950226244344,0.981900452488688,0.467656782011861,1,1.4,0.00458964885204657,0,0.0102577253494038,0.00217463899737041,14.1163762322216,1.56071040904141,4.7622031559046,0.0966511459063234,0.158881080336227,0.182726241091137,13
"Allium cernuum",10,0.045045045045045,1.28975773334363,0.0289757733343626,0.37,0.99132730015083,0.959276018099548,0.452305531312545,1,1.32,0.0102835393756123,0,0.010770611616874,0.00840101314800095,4.67703046879793,1.84579918701884,6.33315914702525,0.128534434321257,0.207846611153763,0.322376151979099,16.25
"Allium geyeri",7,0.0315315315315315,0.819700174505105,-0.0257571179278422,0.49,0.990950226244344,0.972850678733032,0.426026102864331,1,1.56,0.00142969602561232,0,0.00923195281446339,0.00249143765990639,14.486496923443,1.83102048111352,6.24025146915571,0.126648829437213,0.190988011575031,0.318761556239004,22
"Androsace chamaejasme",2,0.00900900900900901,0.013997113997114,-0.493001443001443,0.77,0.995475113122172,0.995475113122172,0.70550517826667,1,1.55,0.000893892121135889,0,0.00929606359789717,0.000776773849665767,268435505.000009,0.693147180559945,2,0.0405909377412792,0.0400992145514675,0.219353651923149,3
"Arenaria lanuginosa",3,0.0135135135135135,0.0509587682104805,-0.316347077263173,0.7,0.995475113122172,0.990950226244344,0.610058969036074,1,1.52,0.00215156072722391,0,0.00948839594819849,0.00149941299175493,5.4525555311395,1.03972077083992,2.82842712474619,0.057404254663159,0.0362408708832851,0.355884498100548,5
"Calochortus gunnisonii",4,0.018018018018018,0.0501471225026568,-0.237463219374336,0.64,0.995475113122172,0.986425339366516,0.57473188712777,1,1.48,0.00327029549043749,0,0.00974483908193358,0.00217609041860747,5.24460493178456,1.242453324894,3.46410161513775,0.0703055664947607,0.0653162463828028,0.30978284840045,7
"Campanula parryi",1,0.0045045045045045,0.0625,-0.9375,0.88,1,1,1,1,2.01,0,0,0.00656067017138949,0.000775124153451204,0.795904853480872,0,1,0.0202954688706396,0.00440953562077994,0.564602341542896,1
"Campanula rotundifolia",41,0.184684684684685,8.63468626812897,0.186211860198267,0.04,0.985061674827992,0.819004524886878,0.335133483047544,1,1.06,0.0515828321363566,0.0294779477947795,0.0124374919861521,0.0184469481497784,12.5941163990535,2.62275237232979,13.7735814862233,0.279541294290863,0.257423318052677,0.560768835501815,55.7272727272727
"Castilleja austromontana",1,0.0045045045045045,0.00793650793650794,-0.992063492063492,0.9,1,1,1,1,1.62,0,0,0.00884728811386075,0.000396576512982961,134217776.500017,0,1,0.0202954688706396,0.017362546506821,0.250610020293822,1
"Castilleja miniata",2,0.00900900900900901,0.400475812846947,-0.299762093576527,0.74,0.99798893916541,0.995475113122172,0.756331101161782,1,1.68,0.000135434992648848,0,0.00846262341325811,0.00411000446541361,0.660107803983902,0.617241769730342,1.85380775496353,0.0376238975830126,0.015157778696431,0.64566789956514,2
"Cerastium nutans",14,0.0630630630630631,2.23770099473583,0.0884072139097019,0.28,0.993484162895928,0.941176470588235,0.451835110790686,1,1.28,0.0159538331598537,0.00727572757275728,0.0110270547506091,0.0112537220769443,5.68673434507232,2.05313438341681,7.79228688394175,0.158148115884133,0.135446386417185,0.469751329626874,18.1666666666667
"Cirsium arizonicum",3,0.0135135135135135,0.074593837535014,-0.308468720821662,0.69,0.996983408748115,0.990950226244344,0.661412173571379,1,1.62,0.0017345986167049,0,0.00884728811386075,0.00138094255139886,3.16655491100451,0.950270539233235,2.58640928985893,0.0524923892290651,0.035827476918837,0.417284601563619,4
"Cirsium neomexicanum",9,0.0405405405405405,0.530711621116496,-0.0521431532092783,0.39,0.994241053064582,0.963800904977376,0.484720379346532,1,1.39,0.00594349714116438,0,0.0103218361328375,0.00640455103095998,5.04309377745281,1.81016133241756,6.11143332501333,0.124034404802798,0.243566211933306,0.333718431461717,10.125
"Cirsium parryi",19,0.0855855855855856,4.02301207370229,0.15910589861591,0.2,0.993604246432301,0.918552036199095,0.507311486668002,1,1.15,0.026787796111451,0.0654065406540654,0.0118604949352481,0.0183107112123915,4.77206301877383,1.74330804376143,5.71622169189278,0.116013399405485,0.210548188944649,0.539969225121408,35
"Commelina dianthifolia",8,0.036036036036036,0.445800866351846,-0.0692748917060193,0.43,0.998229392091285,0.968325791855204,0.727412509705475,1,1.46,0.00371505499806202,0,0.00987306064880113,0.00768969039765926,3.42368592524903,1.10910453303801,3.03164244294654,0.0615286048277312,0.128643034311699,0.524720119797579,23
"Corydalis aurea",1,0.0045045045045045,0.0333333333333333,-0.966666666666667,0.91,1,1,1,1,1.91,0,0,0.0070308159165705,0.000395299986711616,134217776.500017,0,1,0.0202954688706396,0.00413393964448119,0.472978770497863,1
"Cosmos parviflorus",5,0.0225225225225225,1.64174372777084,0.128348745554167,0.56,0.992458521870287,0.981900452488688,0.496594739039419,1,1.62,0.00203452111930413,0,0.00884728811386075,0.00216721207212341,5.70511385211326,1.49417513828931,4.45565973351251,0.0904297034196655,0.0887419043681962,0.559807543640724,9.5
"Cymopterus lemmonii",40,0.18018018018018,6.41226513705256,0.135306628426314,0.05,0.961990950226244,0.823529411764706,0.236669876313458,1,1.16,0.0266029877116957,0,0.0117963841518143,0.0166729759556894,15.5546834539587,3.11066998283876,22.4360711489915,0.455350583583813,0.368913800028732,0.338889542858131,150.25
