"GenusSpecies","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","r.degree"
"Megachile zapoteca",2,0.021505376344086,0.274793388429752,-0.362603305785124,0.508264462809917,0.996376811594203,0.989130434782609,0.787987254366134,0.081095041322314,1.90082644628099,3.21189766850928e-05,0,0.00318265099823098,0.000649276422664714,NA,0.562335144618808,1.75476535060332,0.0590461450953647,0.0117713532347679,0.544705630608047,2
"Melangyna lasiophthalma",1,0.010752688172043,0.0289855072463768,-0.971014492753623,0.685950413223141,1,1,1,0.0289855072463768,2.05785123966942,0,0,0.00285096032347738,0.000395507185826263,NA,0,1,0.0336490261077149,0.00649778698559186,0.501263429477685,1
"Meligramma guttata",1,0.010752688172043,0.0144927536231884,-0.985507246376812,0.884297520661157,1,1,1,0.0144927536231884,2.05785123966942,0,0,0.00285096032347738,0.000203105645446025,NA,0,1,0.0336490261077149,0.00649778698559186,0.413529579297454,1
"Melissodes agilis",1,0.010752688172043,0.00383141762452107,-0.996168582375479,0.888429752066116,1,1,1,0.00383141762452107,1.80165289256198,0,0,0.00343536770280516,0.000203440307875698,NA,0,1,0.0336490261077149,0.0245785855541953,0.229252589478532,1
"Melissodes confusus",41,0.440860215053763,5.85562730064727,0.118429934162129,0,0.953680830039526,0.565217391304348,0.309090622431672,0.176769895742924,1.10743801652893,0.0326846906106038,0.0335118948594244,0.00542551175132676,0.00701645025491265,NA,2.69995127809193,14.8790067736123,0.500664087382147,0.470945859504043,0.299417220565836,83.25
"Melissodes coreopsis",1,0.010752688172043,0.00107758620689655,-0.998922413793103,0.892561983471074,1,1,1,0.00107758620689655,1.55371900826446,0,0,0.00414613343442002,0.000203829521613135,NA,0,1,0.0336490261077149,0.0873905264149167,0.0535497889224344,1
"Melissodes gilensis",5,0.0537634408602151,0.0290556616524734,-0.194188867669505,0.338842975206612,0.978260869565217,0.956521739130435,0.462350641766645,0.007021259512885,1.41322314049587,0.00610240908899043,0,0.0045489006823351,0.00106384096016066,NA,1.56071040904141,4.7622031559046,0.160243498323276,0.185893210283454,0.199769127279353,13
"Melissodes grindeliae",2,0.021505376344086,0.00418356997971602,-0.497908215010142,0.537190082644628,0.994565217391304,0.989130434782609,0.742108238521282,0.00211291413116971,1.52066115702479,0.00047810515702841,0,0.00424090219863533,0.000579872665866259,NA,0.636514168294813,1.88988157484231,0.0635926744523582,0.133816743572841,0.121357001331488,2.5
"Melissodes limbus",1,0.010752688172043,0.000930232558139535,-0.99906976744186,0.896694214876033,1,1,1,0.000930232558139535,1.73140495867769,0,0,0.0036367513267627,0.00020346061454215,NA,0,1,0.0336490261077149,0.101233637819004,0.0331825453723789,1
"Melissodes menuachus",1,0.010752688172043,0.00323275862068966,-0.99676724137931,0.665289256198347,1,1,1,0.00323275862068966,1.55371900826446,0,0,0.00414613343442002,0.000583930915065509,NA,0,1,0.0336490261077149,0.0873905264149167,0.182072788070612,1
"Melissodes montanus",1,0.010752688172043,0.00387596899224806,-0.996124031007752,0.900826446280992,1,1,1,0.00387596899224806,1.87190082644628,0,0,0.00324188147586556,0.000203364306595254,NA,0,1,0.0336490261077149,0.0242960730765609,0.230853890808544,1
"Melissodes pallidisignatus",1,0.010752688172043,0.0021551724137931,-0.997844827586207,0.690082644628099,1,1,1,0.0021551724137931,1.55371900826446,0,0,0.00414613343442002,0.000398261400533277,NA,0,1,0.0336490261077149,0.0873905264149167,0.13521035268803,1
"Melissodes paroselae",1,0.010752688172043,0.0017636684303351,-0.998236331569665,0.90495867768595,1,1,1,0.0017636684303351,1.92148760330579,0,0,0.00309972832954258,0.000203313929209553,NA,0,1,0.0336490261077149,0.0533948582729071,0.121790350756374,1
"Melissodes sp. a",1,0.010752688172043,0.00107758620689655,-0.998922413793103,0.909090909090909,1,1,1,0.00107758620689655,1.55371900826446,0,0,0.00414613343442002,0.000203829521613135,NA,0,1,0.0336490261077149,0.0873905264149167,0.0535497889224344,1
"Melissodes sp. b",1,0.010752688172043,0.00107758620689655,-0.998922413793103,0.913223140495868,1,1,1,0.00107758620689655,1.55371900826446,0,0,0.00414613343442002,0.000203829521613135,NA,0,1,0.0336490261077149,0.0873905264149167,0.0535497889224344,1
"Melissodes sp. c",1,0.010752688172043,0.00107758620689655,-0.998922413793103,0.917355371900826,1,1,1,0.00107758620689655,1.55371900826446,0,0,0.00414613343442002,0.000203829521613135,NA,0,1,0.0336490261077149,0.0873905264149167,0.0535497889224344,1
"Melissodes tristis",15,0.161290322580645,0.359953723430128,-0.0426697517713248,0.0991735537190083,0.973913043478261,0.847826086956522,0.405475041806654,0.0248524600483177,1.17768595041322,0.0214367889113845,0,0.00522412812736922,0.00432455859947133,NA,2.12047720087931,8.33511406255954,0.280468470701847,0.44508640634896,0.179843956609841,35.25
"Melissodes verbesinarum",2,0.021505376344086,0.00552346877928273,-0.497238265610359,0.541322314049587,0.994565217391304,0.989130434782609,0.742108238521282,0.0024613112985206,1.62396694214876,0.000599761616387825,0,0.00394474981046247,0.00057995727054462,NA,0.636514168294813,1.88988157484231,0.0635926744523582,0.126942273283737,0.13547541035322,2.5
"Neocnemodon sp. a",2,0.021505376344086,0.00293470759347527,-0.498532646203262,0.611570247933884,0.989130434782609,0.989130434782609,0.703253309548774,0.00146735379673764,1.56198347107438,0.000464409183095014,0,0.00412244124336619,0.00039642398430699,NA,0.693147180559945,2,0.0672980522154298,0.17139090309822,0.0607039339578756,3
"Nomada sp. c",1,0.010752688172043,0.00107758620689655,-0.998922413793103,0.921487603305785,1,1,1,0.00107758620689655,1.55371900826446,0,0,0.00414613343442002,0.000203829521613135,NA,0,1,0.0336490261077149,0.0873905264149167,0.0535497889224344,1
"Nomada sp. d",3,0.032258064516129,0.0533406519733382,-0.315553116008887,0.442148760330579,0.992753623188406,0.978260869565217,0.658720762902052,0.0300229691043451,1.49173553719008,0.00122207963550074,0,0.00432382486732373,0.000916232780529654,NA,0.950270539233235,2.58640928985893,0.0870301537196995,0.117525190695922,0.363738375702655,4
"Osmia albolateralis",2,0.021505376344086,0.0262541806020067,-0.486872909698997,0.615702479338843,0.989130434782609,0.989130434782609,0.703253309548774,0.0131270903010033,1.90909090909091,8.59097507667383e-05,0,0.00312736921910538,0.000395954450986805,NA,0.693147180559945,2,0.0672980522154298,0.0147848196628684,0.387581087260398,3
"Osmia bucephala",3,0.032258064516129,0.0188951335310724,-0.327034955489643,0.475206611570248,0.978260869565217,0.978260869565217,0.571040240720161,0.0062983778436908,1.68595041322314,0.00139259795989084,0,0.00376705837755876,0.000575490070918364,NA,1.09861228866811,3,0.100947078323145,0.0518881250588568,0.267637947689377,6
"Osmia coloradensis",1,0.010752688172043,0.0027906976744186,-0.997209302325581,0.669421487603306,1,1,1,0.0027906976744186,1.73140495867769,0,0,0.0036367513267627,0.000580913448670728,NA,0,1,0.0336490261077149,0.101233637819004,0.161099181227186,1
"Osmia gaudiosa",1,0.010752688172043,0.0108695652173913,-0.989130434782609,0.925619834710744,1,1,1,0.0108695652173913,1.95867768595041,0,0,0.00304839524892595,0.000203386890610701,NA,0,1,0.0336490261077149,0.00866371598078915,0.373682441329576,1
"Osmia inurbana",1,0.010752688172043,0.0108695652173913,-0.989130434782609,0.929752066115702,1,1,1,0.0108695652173913,1.95867768595041,0,0,0.00304839524892595,0.000203386890610701,NA,0,1,0.0336490261077149,0.00866371598078915,0.373682441329576,1
"Osmia juxta",3,0.032258064516129,0.0643096506285657,-0.311896783123811,0.479338842975207,0.978260869565217,0.978260869565217,0.571040240720161,0.0214365502095219,1.41735537190083,0.00106731499287092,0,0.00453705458680819,0.000578493434066544,NA,1.09861228866811,3,0.100947078323145,0.21753460777851,0.200044562676731,6
"Osmia longula",1,0.010752688172043,0.00313479623824451,-0.996865203761755,0.933884297520661,1,1,1,0.00313479623824451,1.90909090909091,0,0,0.00312736921910538,0.000203325221172412,NA,0,1,0.0336490261077149,0.0300404934551276,0.201457486293815,1
"Osmia montana montana",1,0.010752688172043,0.000930232558139535,-0.99906976744186,0.93801652892562,1,1,1,0.000930232558139535,1.73140495867769,0,0,0.0036367513267627,0.00020346061454215,NA,0,1,0.0336490261077149,0.101233637819004,0.0331825453723789,1
"Osmia pentstemonis",2,0.021505376344086,0.0696220517192384,-0.465188974140381,0.5,0.989130434782609,0.989130434782609,0.703253309548774,0.0348110258596192,1.88429752066116,0.000218243987121165,0,0.00320634318928481,0.00137246582598083,NA,0.693147180559945,2,0.0672980522154298,0.023071852340145,0.479614309149958,2
"Osmia sp. a",2,0.021505376344086,0.0186584876036076,-0.490670756198196,0.545454545454545,0.994565217391304,0.989130434782609,0.742108238521282,0.0105767943428147,1.89669421487603,3.36092404377832e-05,0,0.00317080490270407,0.000578951148483513,NA,0.636514168294813,1.88988157484231,0.0635926744523582,0.0312647141915435,0.340934139551787,2.5
"Osmia subaustralis",1,0.010752688172043,0.4,-0.6,0.694214876033058,1,1,1,0.4,2.04132231404959,0,0,0.00285096032347738,0.00039905024377044,NA,0,1,0.0336490261077149,0.000470854129390715,0.870942404191401,1
"Palpada mexicana",2,0.021505376344086,0.0152396053558844,-0.492380197322058,0.619834710743802,0.989130434782609,0.989130434782609,0.703253309548774,0.00761980267794221,1.82231404958678,0.000528670946824308,0,0.00338403462218853,0.000395643276407276,NA,0.693147180559945,2,0.0672980522154298,0.0325831057538375,0.293627069703911,3
