"UniqueID","TempID","EventID","Collector","Apidae","AspergillusSpp","AscosphaeraSpp","ApicystisSpp","CrithidiaExpoeki","CrithidiaBombi","NosemaCeranae","NosemaBombi","Order","Family","Genus","SubGenus","Species","SubSpecies","Determiner","Author","Sex","PlantGenus","PlantSpecies","PlantVar","PlantSubSpecies","PanColor","PanLocation","Date","SampleRound","NetNumber","Method","StartTime","EndTime","TempStart","TempEnd","WindStart","WindEnd","SkyStart","SkyEnd","GeographyFK","SiteSubSite","Site","Country","State","County","Meadow","Forest","MtRange","Lat","Long","Elev","Area","GenusSpecies","PlantGenusSpecies","Int","Doy","Year","DoyPoly1","DoyPoly2","LatPoly1","LatPoly2","ParasiteRichness","PossibleParasite","ParasitePresence"
"17699",17699,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Diptera","Syrphidae","Paragus","","haemorrhous","","M.Hauser","","f","Erigeron","tracyi","",NA,"","",2018-08-29,2,"7","Net","9:39","10:31",18.8,"18.9",0.7,"0.6","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Paragus haemorrhous","Erigeron tracyi","Paragus haemorrhous Erigeron tracyi",241,2018,0.0226713828867905,0.0289065618016179,0.00995356396329021,0.000641773860560164,NA,0,NA
"17700",17700,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","K. Watrous","Cresson","m","Agastache","pallidiflora","neomexicana",NA,"","",2018-08-29,2,"7","Net","9:39","10:31",18.8,"18.9",0.7,"0.6","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Anthidium maculosum","Agastache pallidiflora neomexicana","Anthidium maculosum Agastache pallidiflora neomexicana",241,2018,0.0226713828867905,0.0289065618016179,0.00995356396329021,0.000641773860560164,NA,0,NA
"17701",17701,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","K. Watrous","Cresson","f","Mirabilis","oblongifolia","",NA,"","",2018-08-29,2,"7","Net","9:39","10:31",18.8,"18.9",0.7,"0.6","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Anthidium maculosum","Mirabilis oblongifolia","Anthidium maculosum Mirabilis oblongifolia",241,2018,0.0226713828867905,0.0289065618016179,0.00995356396329021,0.000641773860560164,NA,0,NA
"17703",17703,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Diptera","Syrphidae","Lapposyrphus","","lapponicus","","M.Hauser","","f","Campanula","rotundifolia","",NA,"","",2018-08-29,2,"7","Net","9:39","10:31",18.8,"18.9",0.7,"0.6","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Lapposyrphus lapponicus","Campanula rotundifolia","Lapposyrphus lapponicus Campanula rotundifolia",241,2018,0.0226713828867905,0.0289065618016179,0.00995356396329021,0.000641773860560164,NA,0,NA
"17710",17710,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Apidae","Andrena","Cnemidandrena","apacheorum","","D. Yanega","Cockerell","f","Hesperidanthus","linearifolius","",NA,"","",2018-08-29,2,"9","Net","10:38","11:17",19.8,"19.4",1.5,"0.9","clear","clear",31,"SM1","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24745,-107.59966,3187,7867.07064,"Andrena apacheorum","Hesperidanthus linearifolius","Andrena apacheorum Hesperidanthus linearifolius",241,2018,0.0226713828867905,0.0289065618016179,0.00995959036161647,0.000653851469070147,NA,0,NA
"17713",17713,NA,"PM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Halictidae","Agapostemon","Agapostemon","angelicus","","L.C. Ponisio","Cockerell","m","Campanula","rotundifolia","",NA,"","",2018-08-29,2,"9","Net","10:38","11:17",19.8,"19.4",1.5,"0.9","clear","clear",31,"SM1","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24745,-107.59966,3187,7867.07064,"Agapostemon angelicus","Campanula rotundifolia","Agapostemon angelicus Campanula rotundifolia",241,2018,0.0226713828867905,0.0289065618016179,0.00995959036161647,0.000653851469070147,NA,0,NA
"17714",17714,NA,"JLM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","K. Watrous","Cresson","f","Hesperidanthus","linearifolius","",NA,"","",2018-08-28,2,"1","Net","11:39","12:45",21.9,"23.7",1.4,"0.6","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Anthidium maculosum","Hesperidanthus linearifolius","Anthidium maculosum Hesperidanthus linearifolius",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17715",17715,NA,"JLM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","K. Watrous","Cresson","f","Hesperidanthus","linearifolius","",NA,"","",2018-08-28,2,"1","Net","11:39","12:45",21.9,"23.7",1.4,"0.6","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Anthidium maculosum","Hesperidanthus linearifolius","Anthidium maculosum Hesperidanthus linearifolius",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17721",17721,NA,"JLM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","K. Watrous","Cresson","f","Agastache","pallidiflora","neomexicana",NA,"","",2018-08-28,2,"1","Net","11:39","12:45",21.9,"23.7",1.4,"0.6","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Anthidium maculosum","Agastache pallidiflora neomexicana","Anthidium maculosum Agastache pallidiflora neomexicana",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17724",17724,NA,"JLM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","cf.","J. Gardener","Cockerell","m","Erigeron","tracyi","",NA,"","",2018-08-28,2,"3","Net","13:34","14:14",23.3,"23.7",0.5,"0.6","clear","clear",34,"SM4","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24711,-107.59861,3215,7867.07064,"Lasioglossum ruidosense cf.","Erigeron tracyi","Lasioglossum ruidosense cf. Erigeron tracyi",240,2018,0.0220015914636009,0.0269195538696452,0.0099561754025649,0.000647006764235413,NA,0,NA
"17725",17725,NA,"JLM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Megachilidae","Anthidium","Anthidium","maculosum","","K. Watrous","Cresson","m","Hesperidanthus","linearifolius","",NA,"","",2018-08-28,2,"3","Net","13:34","14:14",23.3,"23.7",0.5,"0.6","clear","clear",34,"SM4","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24711,-107.59861,3215,7867.07064,"Anthidium maculosum","Hesperidanthus linearifolius","Anthidium maculosum Hesperidanthus linearifolius",240,2018,0.0220015914636009,0.0269195538696452,0.0099561754025649,0.000647006764235413,NA,0,NA
"17726",17726,NA,"JLM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","M2","","J. Gardener","","f","Viguiera","multiflora","",NA,"","",2018-08-28,2,"4","Net","14:32","15:15",23.9,"23",0,"0.7","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Lasioglossum M2","Viguiera multiflora","Lasioglossum M2 Viguiera multiflora",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17727",17727,NA,"JLM",NA,NA,NA,NA,NA,NA,NA,NA,"Diptera","Syrphidae","Eristalis","","stipator","","M.Hauser","Osten Sacken","","Viguiera","multiflora","",NA,"","",2018-08-28,2,"4","Net","14:32","15:15",23.9,"23",0,"0.7","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Eristalis stipator","Viguiera multiflora","Eristalis stipator Viguiera multiflora",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17729",17729,NA,"JLM",NA,NA,NA,NA,NA,NA,NA,NA,"Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","cf.","J. Gardener","Cockerell","f","Campanula","rotundifolia","",NA,"","",2018-08-28,2,"4","Net","14:32","15:15",23.9,"23",0,"0.7","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Lasioglossum ruidosense cf.","Campanula rotundifolia","Lasioglossum ruidosense cf. Campanula rotundifolia",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
"17730",17730,NA,"JLM",NA,NA,NA,NA,NA,NA,NA,NA,"Diptera","Syrphidae","Chrysotoxum","","sp.","a","M.Hauser","","","Hesperidanthus","linearifolius","",NA,"","",2018-08-28,2,"4","Net","14:32","15:15",23.9,"23",0,"0.7","clear","clear",35,"SM5","SM","USA","NM","Cibola","La Mosca Lookout Tower Meadow","Cibola","San Mateo",35.24685,-107.59916,3223,7867.07064,"Chrysotoxum sp. a","Hesperidanthus linearifolius","Chrysotoxum sp. a Hesperidanthus linearifolius",240,2018,0.0220015914636009,0.0269195538696452,0.00995356396329021,0.000641773860560164,NA,0,NA
