"","key","site","date","number","genID","genSp","sex","fieldPlantID","finalPlantID","samplingDay","sampingRound","collector","determiner.x","dateDetermined","notes","uniqueID","genus_species","genus","family","determiner.y"
"42","Colias_eurytheme","JC","071212","129","pierid","Colias eurytheme","f","Erigeron subtrinervis","Erigeron subtrinervis",2,1,"LCP","","","","EMEC_SI_JC_071212_129","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"43","Colias_eurytheme","PL","081012","325","Colias eurytheme","Colias eurytheme","f","purple flower","Glandularia bipinnatifida",2,1,"LCP","","","","EMEC_SI_PL_081012_325","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"44","Colias_eurytheme","PL","080912","380","sulfur","Colias eurytheme","","purple flower","Glandularia bipinnatifida",1,1,"HLS","","","","EMEC_SI_PL_080912_380","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"45","Colias_eurytheme","SC","072712","266","sulfur","","","Erigeron subtrinervis","Erigeron subtrinervis",5,1,"LCP","","","","EMEC_SI_SC_072712_266","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"46","Colias_eurytheme","PL","081212","294","sulfur","Colias eurytheme","","orange dandilion","Agoseris aurantica",4,1,"LCP","","","","EMEC_SI_PL_081212_294","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"47","Colias_eurytheme","JC","071512","5","sulfur","Colias eurytheme","m","Erigeron subtrinervis","Erigeron subtrinervis",4,1,"LCP","","","","EMEC_SI_JC_071512_5","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"48","Colias_eurytheme","PL","081112","278","sulfur","Colias eurytheme","","thistle","Cirsium parryi",3,1,"HLS","","","","EMEC_SI_PL_081112_278","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"49","Colias_eurytheme","PL","081212","293","sulfur","Colias eurytheme","","purple flower","Glandularia bipinnatifida",4,1,"LCP","","","","EMEC_SI_PL_081212_293","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"50","Colias_eurytheme","PL","081112","272","sulfur","Colias eurytheme","","big yellow aster","Hymenoxys hoopesii",3,1,"HLS","","","","EMEC_SI_PL_081112_272","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"51","Colias_eurytheme","JC","071712","14","sulfur","Colias eurytheme","m","Erigeron subtrinervis","Erigeron subtrinervis",6,1,"HLS","","","","EMEC_SI_JC_071712_14","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"52","Colias_eurytheme","PL","081212","291","sulfur","Colias eurytheme","","purple flower","Glandularia bipinnatifida",4,1,"LCP","","","","EMEC_SI_PL_081212_291","Colias eurytheme","Colias","Pieridae","L.Ponisio"
"53","Colias_eurytheme","JC","071512","4","sulfur","Colias eurytheme","m","Erigeron subtrinervis","Erigeron subtrinervis",4,1,"LCP","","","","EMEC_SI_JC_071512_4","Colias eurytheme","Colias","Pieridae","L.Ponisio"
