,key,site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,uniqueID,genus_species,genus,family,determiner.y,lat,long,state,country,county
35,Colias_eurytheme,PL,80912,34,fly,,,big yellow aster,Hymenoxys hoopesii,1,1,HLS,EMEC_SI_PL_080912_34,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
36,Colias_eurytheme,PL,81112,273,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,1,HLS,EMEC_SI_PL_081112_273,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
37,Colias_eurytheme,PL,81012,335,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,2,1,HLS,EMEC_SI_PL_081012_335,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
38,Colias_eurytheme,CH,82112,186,sulfur,,,purple flower,Glandularia bipinnatifida,4,2,HLS,EMEC_SI_CH_082112_186,Colias eurytheme,Colias,Pieridae,L.Ponisio," 31Á55'2.68""N","109Á16'44.17""W",Arizona,USA,Cochise
39,Colias_eurytheme,JC,71712,8,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,EMEC_SI_JC_071712_8,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
40,Colias_eurytheme,SC,72712,264,sulfur,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,EMEC_SI_SC_072712_264,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á12'22.86""N","106Á26'36.15""W",New Mexico,USA,Bernalillo
41,Colias_eurytheme,PL,81212,293,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,4,1,LCP,EMEC_SI_PL_081212_293,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
42,Colias_eurytheme,JC,71512,5,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,EMEC_SI_JC_071512_5,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
43,Colias_eurytheme,SC,72012,323,sulfur,Colias eurytheme,f,pea,Oxytropis lambertii,1,1,HLS,EMEC_SI_SC_072012_323,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á12'22.86""N","106Á26'36.15""W",New Mexico,USA,Bernalillo
44,Colias_eurytheme,JC,71612,5,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,EMEC_SI_JC_071612_5,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
