Meadow,Family,GenusSpecies,Forest,State,Deteriner,Count
Hospital Flat,Syrphidae,Cheilosia sp. a,Coronado,Arizona,M. Hauser,66
Hospital Flat,Syrphidae,Copestylum avidum,Coronado,Arizona,M. Hauser,10
Hospital Flat,Syrphidae,Copestylum lentum,Coronado,Arizona,M. Hauser,1
Hospital Flat,Syrphidae,Copestylum marginatum,Coronado,Arizona,M. Hauser,6
Hospital Flat,Syrphidae,Copestylum mexicana,Coronado,Arizona,M. Hauser,1
Hospital Flat,Syrphidae,Copestylum violaceum,Coronado,Arizona,M. Hauser,7
Hospital Flat,Syrphidae,Dasysyrphus sp. a,Coronado,Arizona,M. Hauser,1
Hospital Flat,Syrphidae,Eristalis stipator,Coronado,Arizona,M. Hauser,6
Hospital Flat,Syrphidae,Melangyna lasiophthalma,Coronado,Arizona,M. Hauser,2
Hospital Flat,Syrphidae,Meligramma guttata,Coronado,Arizona,M. Hauser,1
Hospital Flat,Syrphidae,Pipizini sp. a,Coronado,Arizona,M. Hauser,2
Hospital Flat,Syrphidae,Platycheirus stegnus,Coronado,Arizona,M. Hauser,1
Hospital Flat,Apidae,Bombus centralis,Coronado,Arizona,R.W. Thorp,55
Jack's creek meadow,Trochilidae,Selasphorus platycercus,Santa Fe,New Mexico,A.J. Rominger,25
Jack's creek meadow,Vespidae,Ancistrocerus catskill,Santa Fe,New Mexico,J. Carpenter,1
Jack's creek meadow,Vespidae,Dolichovespula arenaria,Santa Fe,New Mexico,J. Carpenter,1
Jack's creek meadow,Vespidae,Pseudepipona herrichii aldrichi,Santa Fe,New Mexico,J. Carpenter,1
Jack's creek meadow,Vespidae,Stenodynerus toas,Santa Fe,New Mexico,J. Carpenter,4
Jack's creek meadow,Halictidae,Agapostemen angelicus,Santa Fe,New Mexico,J.S. Ascher,22
Jack's creek meadow,Andrenidae,Andrena apacheorum,Santa Fe,New Mexico,J.S. Ascher,6
Jack's creek meadow,Apidae,Anthophora montana,Santa Fe,New Mexico,J.S. Ascher,5
Jack's creek meadow,Apidae,Anthophora terminalis,Santa Fe,New Mexico,J.S. Ascher,1
Jack's creek meadow,Megachilidae,Coelioxys sodalis,Santa Fe,New Mexico,J.S. Ascher,1
Jack's creek meadow,Halictidae,Dufourea fimbriata,Santa Fe,New Mexico,J.S. Ascher,20
Jack's creek meadow,Halictidae,Dufourea maura,Santa Fe,New Mexico,J.S. Ascher,2
Jack's creek meadow,Halictidae,Halictus rubicundus,Santa Fe,New Mexico,J.S. Ascher,6
Jack's creek meadow,Colletidae,Hylaeus annulatus,Santa Fe,New Mexico,J.S. Ascher,7
Jack's creek meadow,Halictidae,Lasioglossum aquilae,Santa Fe,New Mexico,J.S. Ascher,53
Jack's creek meadow,Halictidae,Lasioglossum laevissimum,Santa Fe,New Mexico,J.S. Ascher,13
Jack's creek meadow,Halictidae,Lasioglossum lusorium,Santa Fe,New Mexico,J.S. Ascher,1
