site,date,number,finalPlantID,temp.id,meadow,mtn,forest,county,genus,subgenus,species
PL,81212,26,Hymenoxys hoopesii,PL_081212_26,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Svastra,,sp.
JC,71212,8,Campanula rotundifolia,JC_071212_8,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,tristis
JC,71212,10,Campanula rotundifolia,JC_071212_10,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,tristis
JC,71212,18,Campanula rotundifolia,JC_071212_18,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,tristis
JC,71612,63,Campanula rotundifolia,JC_071612_63,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,tristis
JC,71512,91,Campanula rotundifolia,JC_071512_91,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,tristis
JC,71612,100,Erigeron subtrinervis,JC_071612_100,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,tristis
JC,71212,106,Campanula rotundifolia,JC_071212_106,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,tristis
JC,71512,113,Campanula rotundifolia,JC_071512_113,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,Melissodes,Eumelissodes,tristis
PL,81212,165,Cirsium parryi,PL_081212_165,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,tristis
PL,81212,194,Gentianopsis detonsa,PL_081212_194,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,tristis
PL,81212,222,Geranium viscosissimum,PL_081212_222,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,tristis
PL,81312,45,Hymenoxys hoopesii,PL_081312_45,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,verbesinarum
PL,81312,199,Hymenoxys hoopesii,PL_081312_199,Hospital Flat,Pinaleno Mts.,Coronado,Graham,Melissodes,Eumelissodes,verbesinarum
SC,72912,13,Hymenoxys richardsonii,SC_072912_13,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,,,
PL,81312,13,Cirsium parryi,PL_081312_13,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
JC,71112,14,Erigeron subtrinervis,JC_071112_14,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
PL,81112,14,Cirsium parryi,PL_081112_14,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
